code;lieu;sexe;att1;att2;att3;att4;att5;rep1;rep2;rep3;rep4;rep5
071;USSEIN;homme;JPN;MCO;CHE;CAN;TZA;ISR;DZA;EGY;GIN;BFA
072;USSEIN;homme;CAN;ESP;BRA;GBR;BEL;AFG;IRN;IRQ;ITA;MAR
073;USSEIN;femme;NGA;DZA;MAR;CIV;EGY;MLI;BFA;GIN;MRT;NER
074;USSEIN;homme;CHN;CAN;ZAF;JPN;PRK;FRA;ITA;MLI;GMB;AUS
075;USSEIN;homme;SEN;CHN;ESP;;;GHA;CIV;MLI;LBY;MAR
076;USSEIN;femme;CAN;CHN;TUR;FRA;;ISR;BEN;MAR;UKR;MLI
077;USSEIN;femme;FRA;BEL;ESP;CAN;DEU;IRN;IRQ;ISR;;
078;USSEIN;homme;BEL;FRA;CAN;CIV;ESP;DEU;ARG;ITA;RUS;MAR
079;USSEIN;homme;DEU;RUS;CAN;ARG;AUS;FRA;ESP;GAB;;
080;USSEIN;femme;DEU;ITA;CAN;BEL;;ESP;NER;MLI;TUN;GAB
081;USSEIN;homme;USA;GBR;DEU;CAN;FRA;IRN;ISR;MLI;COD;ETH
082;USSEIN;homme;FRA;SEN;BEL;CHE;LUX;AGO;GHA;SLE;LBR;NER
083;USSEIN;homme;FRA;USA;ESP;CAN;BEL;ISR;IRN;CHN;GIN;MRT
084;USSEIN;homme;ZAF;CHE;BFA;MAR;;ARG;LBY;ISR;AFG;USA
085;USSEIN;femme;CAN;FRA;MLI;AGO;;GMB;MAR;MRT;ESP;EGY
086;USSEIN;homme;LUX;CAN;GHA;MAR;QAT;IND;USA;IRN;ITA;BRA
087;USSEIN;homme;ESP;DEU;RUS;;;FRA;ITA;CHE;CAN;MAR
088;USSEIN;femme;USA;CHN;GMB;CAN;IND;FRA;AUS;LUX;;
089;USSEIN;femme;CAN;ITA;FRA;;;GMB;NGA;GAB;CIV;IRN
090;USSEIN;femme;CAN;DEU;CIV;SAU;CHN;IRN;ISR;IRQ;MEX;
091;USSEIN;homme;BEL;BWA;GBR;MAR;ESP;CAN;COL;GIN;SDN;AFG
092;USSEIN;homme;DEU;CHE;CHN;CAN;SAU;ISR;AFG;MEX;CHL;ALB
093;USSEIN;homme;CHN;JPN;CAN;CHE;ZAF;ISR;SLV;NER;;
094;USSEIN;homme;DEU;CAN;ESP;ITA;FRA;ISR;USA;MEX;BRA;COL
095;USSEIN;femme;CAN;FRA;DZA;ARE;DEU;PSE;LBY;RUS;GIN;
096;USSEIN;homme;FRA;DEU;GBR;ESP;CAN;IRN;TUN;SSD;GRC;POL
097;USSEIN;homme;ITA;FRA;ESP;;;COL;CHN;IND;DEU;RUS
098;USSEIN;homme;USA;FRA;DEU;CHN;GBR;IRN;MEX;SDN;BRA;CAN
099;USSEIN;femme;CAN;LUX;CHE;USA;FRA;IND;IRN;EGY;MAR;BEN
100;USSEIN;homme;CAN;USA;FRA;MAR;CHN;CIV;ETH;RUS;ISR;PRK
101;USSEIN;femme;CAN;CHE;USA;MAR;ZAF;SDN;ETH;RUS;KOR;MEX
102;USSEIN;femme;FIN;CHE;GBR;MAR;ESP;GBR;ISR;FRA;ITA;PRK
103;USSEIN;femme;SAU;CAN;MAR;LUX;CIV;FRA;PRK;ZAF;SDN;
104;USSEIN;femme;FRA;RUS;JPN;USA;ZAF;MAR;UKR;DZA;;
105;USSEIN;femme;DEU;GBR;RUS;CAN;JPN;ISR;VEN;USA;HUN;BLR
106;USSEIN;femme;CAN;FRA;NOR;USA;DEU;ISR;RUS;IRN;UKR;TCD
107;USSEIN;femme;FRA;CAN;CHE;MCO;LUX;UKR;ISR;SDN;HTI;SYR
108;USSEIN;femme;CHN;USA;ITA;ESP;ZAF;GIN;EGY;ISR;PSE;
109;USSEIN;homme;FRA;BRA;CAN;USA;CPV;LBY;IRN;ISR;ARG;COL
110;USSEIN;homme;JPN;CAN;NOR;TUN;FRA;MDG;UKR;MEX;;
111;USSEIN;femme;FRA;CAN;CHE;USA;GBR;IRN;IRQ;UKR;MAR;NGA
112;USSEIN;homme;PSE;RWA;ZAF;CHN;RUS;ISR;BRA;JAM;USA;PRK
113;USSEIN;femme;SAU;FRA;TUR;CAN;MAR;ISR;NGA;LBY;COL;
114;USSEIN;femme;SEN;FRA;CHN;USA;CAN;MAR;MLI;CIV;IRN;COG
115;USSEIN;femme;CAN;;;;;SEN;;;;
116;USSEIN;homme;SEN;FRA;CAN;CHE;BEL;USA;MEX;CUB;ISR;
117;USSEIN;femme;ESP;CAN;CHN;JPN;ITA;FRA;MRT;MAR;PRK;GIN
118;USSEIN;femme;CAN;JPN;USA;CHN;FRA;MAR;DZA;MLI;LBY;NGA
119;USSEIN;homme;CAN;LUX;FRA;USA;TUR;MLI;SEN;ISR;GMB;LBY
120;USSEIN;femme;USA;JPN;CHN;MRT;;DEU;;;;
121;USSEIN;homme;GBR;USA;ESP;NLD;ETH;ISR;PSE;FRA;CUB;IRN
122;USSEIN;homme;CAN;FRA;ITA;ESP;TUR;CIV;MAR;KEN;PSE;CMR
123;USSEIN;homme;USA;CAN;GBR;FRA;ITA;;;;;
124;USSEIN;homme;CAN;GBR;BEL;FRA;SEN;ISR;PSE;BEN;MEX;
125;USSEIN;homme;CAN;FRA;DEU;ESP;;ISR;USA;MAR;BRA;IRN
126;USSEIN;homme;JPN;CHN;ARE;LUX;ITA;ISR;LBN;IRN;GHA;BEN
127;USSEIN;femme;DEU;FRA;CAN;ITA;ESP;USA;IRL;IRN;JPN;NLD
128;USSEIN;femme;CAN;USA;GBR;DEU;;FRA;ITA;PRT;BEL;NLD
129;USSEIN;homme;CAN;ESP;USA;DEU;GBR;ISR;CIV;IRN;DZA;PSE
130;USSEIN;homme;ESP;USA;FRA;GBR;CAN;ISR;PSE;MEX;COL;PRT
131;USSEIN;homme;USA;CAN;GBR;ESP;BEL;FRA;COL;VEN;MEX;AUS
132;USSEIN;homme;FRA;CAN;USA;SAU;BRA;ISR;IRN;PSE;KWT;ARG
133;USSEIN;femme;CAN;MAR;FRA;RWA;DEU;AFG;PRK;SYR;YEM;UKR
134;USSEIN;femme;FRA;BEL;USA;CAN;ITA;CHN;DEU;MAR;ARG;ESP
135;USSEIN;homme;CAN;DEU;ZAF;PRT;;;;;;
136;USSEIN;homme;CAN;ESP;BRA;MAR;;FRA;ITA;GAB;BEL;PRT
137;USSEIN;femme;ITA;CAN;PRT;DEU;;FRA;IND;;;
138;USSEIN;femme;CAN;MAR;FRA;BRA;JPN;CHN;EGY;AUS;DEU;
139;USSEIN;femme;CAN;IRN;ESP;;;MRT;DZA;MAR;FRA;
140;USSEIN;homme;CPV;MDG;CAN;ESP;;ISR;FRA;BRA;ARG;
141;USSEIN;homme;FRA;CHN;ITA;CAN;;ISR;ETH;MYS;AGO;PAK
142;USSEIN;homme;ESP;CHE;ITA;;;RUS;NGA;AFG;IND;NER
143;USSEIN;homme;FRA;ESP;IND;SAU;DEU;TUN;ITA;NOR;;
144;USSEIN;homme;IND;SAU;ESP;;TUR;DEU;FRA;ISR;MAR;DZA
145;USSEIN;homme;CAN;JPN;TUR;SAU;;NGA;CMR;AGO;BFA;NER
146;USSEIN;homme;DEU;ESP;CPV;ZAF;ITA;GAB;IRN;MRT;GNB;IRQ
147;USSEIN;homme;FRA;BEL;CAN;FIN;;LBY;AFG;SDN;UKR;HTI
148;USSEIN;femme;CAN;ESP;CHN;KOR;;PRK;IRQ;ISR;AFG;MAR
149;USSEIN;homme;ESP;FRA;DEU;ITA;;UKR;RUS;JPN;CHN;
