code;lieu;sexe;att1;att2;att3;att4;att5;rep1;rep2;rep3;rep4;rep5
E081;USSEIN;homme;USA;GBR;DEU;CAN;FRA;IRN;ISR;MLI;COD;ETH
E082;USSEIN;homme;FRA;SEN;BEL;CHE;LUX;AGO;GHA;SLE;LBR;NER
E083;USSEIN;homme;FRA;USA;ESP;CAN;BEL;ISR;IRN;CHN;GIN;MRT
E084;USSEIN;homme;ZAF;CHE;BFA;MAR;;ARG;LBY;ISR;AFG;USA
E085;USSEIN;femme;CAN;FRA;MLI;AGO;;GMB;MAR;MRT;ESP;EGY
E086;USSEIN;homme;LUX;CAN;GHA;MAR;QAT;IND;USA;IRN;ITA;BRA
E091;USSEIN;homme;BEL;BWA;GBR;MAR;ESP;CAN;COL;GIN;SDN;AFG
E092;USSEIN;homme;DEU;CHE;CHN;CAN;SAU;ISR;AFG;MEX;CHL;ALB
E094;USSEIN;homme;DEU;CAN;ESP;ITA;FRA;ISR;USA;MEX;BRA;COL
E096;USSEIN;homme;FRA;DEU;GBR;ESP;CAN;IRN;TUN;SSD;GRC;POL
E098;USSEIN;homme;USA;FRA;DEU;CHN;GBR;IRN;MEX;SDN;BRA;CAN
E099;USSEIN;femme;CAN;LUX;CHE;USA;FRA;IND;IRN;EGY;MAR;BEN
E100;USSEIN;homme;CAN;USA;FRA;MAR;CHN;CIV;ETH;RUS;ISR;PRK
E101;USSEIN;femme;CAN;CHE;USA;MAR;ZAF;SDN;ETH;RUS;KOR;MEX
E102;USSEIN;femme;FIN;CHE;GBR;MAR;ESP;GBR;ISR;FRA;ITA;PRK
E105;USSEIN;femme;DEU;GBR;RUS;CAN;JPN;ISR;VEN;USA;HUN;BLR
E106;USSEIN;femme;CAN;FRA;NOR;USA;DEU;ISR;RUS;IRN;UKR;TCD
E107;USSEIN;femme;FRA;CAN;CHE;MCO;LUX;UKR;ISR;SDN;HTI;SYR
E109;USSEIN;homme;FRA;BRA;CAN;USA;CPV;LBY;IRN;ISR;ARG;COL
E111;USSEIN;femme;FRA;CAN;CHE;USA;GBR;IRN;IRQ;UKR;MAR;NGA
E112;USSEIN;homme;PSE;RWA;ZAF;CHN;RUS;ISR;BRA;JAM;USA;PRK
E114;USSEIN;femme;SEN;FRA;CHN;USA;CAN;MAR;MLI;CIV;IRN;COG
E117;USSEIN;femme;ESP;CAN;CHN;JPN;ITA;FRA;MRT;MAR;PRK;GIN
E118;USSEIN;femme;CAN;JPN;USA;CHN;FRA;MAR;DZA;MLI;LBY;NGA
E119;USSEIN;homme;CAN;LUX;FRA;USA;TUR;MLI;SEN;ISR;GMB;LBY
E121;USSEIN;homme;GBR;USA;ESP;NLD;ETH;ISR;PSE;FRA;CUB;IRN
E122;USSEIN;homme;CAN;FRA;ITA;ESP;TUR;CIV;MAR;KEN;PSE;CMR
E126;USSEIN;homme;JPN;CHN;ARE;LUX;ITA;ISR;LBN;IRN;GHA;BEN
E127;USSEIN;femme;DEU;FRA;CAN;ITA;ESP;USA;IRL;IRN;JPN;NLD
E129;USSEIN;homme;CAN;ESP;USA;DEU;GBR;ISR;CIV;IRN;DZA;PSE
E130;USSEIN;homme;ESP;USA;FRA;GBR;CAN;ISR;PSE;MEX;COL;PRT
E131;USSEIN;homme;USA;CAN;GBR;ESP;BEL;FRA;COL;VEN;MEX;AUS
E132;USSEIN;homme;FRA;CAN;USA;SAU;BRA;ISR;IRN;PSE;KWT;ARG
E133;USSEIN;femme;CAN;MAR;FRA;RWA;DEU;AFG;PRK;SYR;YEM;UKR
E134;USSEIN;femme;FRA;BEL;USA;CAN;ITA;CHN;DEU;MAR;ARG;ESP
E146;USSEIN;homme;DEU;ESP;CPV;ZAF;ITA;GAB;IRN;MRT;GNB;IRQ
